Format Version,1.1,Take Name,Take 2021-09-15 03.19.26 PM,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-09-15 03.19.26.638 PM,Total Frames,4065,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_2,Marker_2,Marker_2,Marker_1,Marker_1,Marker_1,Marker_3,Marker_3,Marker_3
,,"8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702811","8392B20CF49E35702811","8392B20CF49E35702811"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
735,7.350000,-0.352352,1.026592,1.081870,-0.350545,1.165671,1.051475,-0.325226,0.883685,1.067279
736,7.360000,-0.352403,1.026592,1.081852,-0.350613,1.165675,1.051476,-0.325354,0.883742,1.067344
737,7.370000,-0.352484,1.026591,1.081828,-0.350663,1.165667,1.051439,-0.325419,0.883737,1.067297
738,7.380000,-0.352514,1.026572,1.081786,-0.350713,1.165657,1.051425,-0.325440,0.883736,1.067286
739,7.390000,-0.352603,1.026570,1.081781,-0.350800,1.165653,1.051409,-0.325491,0.883730,1.067263
740,7.400000,-0.352624,1.026528,1.081733,-0.350842,1.165656,1.051391,-0.325349,0.883612,1.067108
741,7.410000,-0.352704,1.026528,1.081724,-0.350950,1.165648,1.051381,-0.325261,0.883589,1.067119
742,7.420000,-0.352742,1.026518,1.081713,-0.351014,1.165648,1.051387,-0.325654,0.883731,1.067237
743,7.430000,-0.352795,1.026515,1.081700,-0.351040,1.165632,1.051358,-0.325566,0.883627,1.067128
744,7.440000,-0.352825,1.026512,1.081683,-0.351143,1.165636,1.051349,-0.325757,0.883719,1.067246
745,7.450000,-0.352912,1.026520,1.081694,-0.351191,1.165635,1.051339,-0.325679,0.883637,1.067137
746,7.460000,-0.352975,1.026517,1.081688,-0.351259,1.165626,1.051303,-0.325861,0.883723,1.067252
747,7.470000,-0.352968,1.026508,1.081675,-0.351310,1.165627,1.051282,-0.325509,0.883550,1.067091
748,7.480000,-0.353008,1.026505,1.081659,-0.351346,1.165637,1.051274,-0.325712,0.883554,1.067034
749,7.490000,-0.353033,1.026513,1.081650,-0.351395,1.165633,1.051257,-0.326010,0.883709,1.067222
750,7.500000,-0.353061,1.026494,1.081621,-0.351460,1.165639,1.051235,-0.326076,0.883724,1.067224
751,7.510000,-0.353139,1.026503,1.081615,-0.351525,1.165640,1.051244,-0.325720,0.883539,1.067053
752,7.520000,-0.353153,1.026498,1.081558,-0.351593,1.165617,1.051243,-0.326239,0.883732,1.067230
753,7.530000,-0.353234,1.026496,1.081556,-0.351651,1.165629,1.051232,-0.326315,0.883716,1.067191
754,7.540000,-0.353338,1.026490,1.081548,-0.351758,1.165619,1.051226,-0.325979,0.883542,1.067050
755,7.550000,-0.353441,1.026492,1.081543,-0.351831,1.165607,1.051218,-0.326317,0.883580,1.067065
756,7.560000,-0.353532,1.026484,1.081521,-0.351939,1.165591,1.051204,-0.326585,0.883690,1.067182
757,7.570000,-0.353617,1.026468,1.081523,-0.352037,1.165583,1.051203,-0.326712,0.883749,1.067241
758,7.580000,-0.353730,1.026467,1.081507,-0.352142,1.165564,1.051207,-0.326631,0.883579,1.067043
759,7.590000,-0.353786,1.026460,1.081537,-0.352236,1.165557,1.051196,-0.326854,0.883685,1.067179
760,7.600000,-0.353843,1.026440,1.081493,-0.352300,1.165548,1.051192,-0.327149,0.883717,1.067239
761,7.610000,-0.353914,1.026416,1.081487,-0.352396,1.165547,1.051204,-0.327227,0.883704,1.067244
762,7.620000,-0.354024,1.026404,1.081482,-0.352458,1.165529,1.051191,-0.327020,0.883515,1.067018
763,7.630000,-0.354052,1.026392,1.081479,-0.352532,1.165526,1.051195,-0.327226,0.883587,1.067108
764,7.640000,-0.354145,1.026376,1.081473,-0.352659,1.165514,1.051192,-0.327262,0.883479,1.066993
765,7.650000,-0.354184,1.026378,1.081472,-0.352724,1.165497,1.051203,-0.327485,0.883565,1.067108
766,7.660000,-0.354344,1.026356,1.081489,-0.352797,1.165469,1.051191,-0.327600,0.883540,1.067113
767,7.670000,-0.354374,1.026342,1.081477,-0.352845,1.165455,1.051224,-0.327748,0.883556,1.067161
768,7.680000,-0.354447,1.026301,1.081462,-0.352986,1.165435,1.051231,-0.327852,0.883537,1.067170
769,7.690000,-0.354548,1.026285,1.081482,-0.353082,1.165408,1.051232,-0.327995,0.883456,1.067149
770,7.700000,-0.354602,1.026266,1.081465,-0.353122,1.165402,1.051246,-0.328012,0.883391,1.067080
771,7.710000,-0.354755,1.026257,1.081493,-0.353191,1.165393,1.051234,-0.328252,0.883464,1.067188
772,7.720000,-0.354734,1.026233,1.081438,-0.353287,1.165384,1.051208,-0.328387,0.883444,1.067176
773,7.730000,-0.354902,1.026251,1.081454,-0.353429,1.165382,1.051204,-0.328536,0.883467,1.067181
774,7.740000,-0.354952,1.026228,1.081405,-0.353600,1.165400,1.051226,-0.328759,0.883523,1.067222
775,7.750000,-0.355196,1.026286,1.081442,-0.353698,1.165390,1.051202,-0.328717,0.883428,1.067094
776,7.760000,-0.355199,1.026261,1.081393,-0.353827,1.165416,1.051224,-0.329031,0.883552,1.067202
777,7.770000,-0.355302,1.026274,1.081409,-0.354032,1.165412,1.051227,-0.329053,0.883474,1.067127
778,7.780000,-0.355394,1.026272,1.081388,-0.354139,1.165413,1.051244,-0.329270,0.883561,1.067197
779,7.790000,-0.355907,1.026332,1.081577,-0.354236,1.165395,1.051250,-0.329125,0.883390,1.067029
780,7.800000,-0.355030,1.026144,1.081165,-0.354402,1.165404,1.051274,-0.329395,0.883459,1.067183
781,7.810000,-0.355178,1.026126,1.081212,-0.354466,1.165371,1.051287,-0.329501,0.883461,1.067200
782,7.820000,-0.355341,1.026116,1.081234,-0.354558,1.165371,1.051269,-0.329623,0.883477,1.067203
783,7.830000,-0.355503,1.026066,1.081197,-0.354743,1.165349,1.051280,-0.329619,0.883409,1.067226
784,7.840000,-0.355619,1.026052,1.081223,-0.354844,1.165345,1.051300,-0.329783,0.883398,1.067242
785,7.850000,-0.355745,1.026026,1.081248,-0.354909,1.165293,1.051304,-0.329860,0.883371,1.067244
786,7.860000,-0.355868,1.025999,1.081265,-0.354903,1.165290,1.051328,-0.329842,0.883329,1.067255
787,7.870000,-0.355955,1.025966,1.081262,-0.354407,1.165445,1.051179,-0.328609,0.882716,1.067192
788,7.880000,-0.356071,1.025972,1.081278,-0.353652,1.164926,1.051092,-0.328575,0.882670,1.066684
789,7.890000,-0.356171,1.025928,1.081263,-0.353843,1.164886,1.051141,-0.328694,0.882647,1.066680
790,7.900000,-0.356321,1.025941,1.081282,-0.353980,1.164880,1.051230,-0.328819,0.882641,1.066707
791,7.910000,-0.356527,1.025948,1.081268,-0.354203,1.164878,1.051333,-0.328962,0.882644,1.066728
792,7.920000,-0.356560,1.025918,1.081287,-0.354377,1.164887,1.051402,-0.329062,0.882615,1.066704
793,7.930000,-0.356746,1.025908,1.081277,-0.354125,1.164916,1.051485,-0.329193,0.882618,1.066694
794,7.940000,-0.356844,1.025889,1.081263,-0.354258,1.164913,1.051480,-0.329354,0.882621,1.066699
795,7.950000,-0.356950,1.025877,1.081234,-0.354374,1.164889,1.051493,-0.329442,0.882598,1.066683
796,7.960000,-0.357078,1.025864,1.081248,-0.354457,1.164869,1.051500,-0.329655,0.882535,1.066686
797,7.970000,-0.357166,1.025831,1.081255,-0.354564,1.164857,1.051504,-0.329736,0.882551,1.066677
798,7.980000,-0.357267,1.025816,1.081256,-0.354652,1.164847,1.051508,-0.329834,0.882466,1.066678
799,7.990000,-0.357334,1.025821,1.081247,-0.354720,1.164811,1.051527,-0.329900,0.882508,1.066665
800,8.000000,-0.357427,1.025791,1.081271,-0.354822,1.164800,1.051544,-0.329986,0.882505,1.066660
801,8.010000,-0.357501,1.025779,1.081259,-0.354895,1.164807,1.051544,-0.330042,0.882429,1.066684
802,8.020000,-0.357568,1.025762,1.081252,-0.355017,1.164743,1.051558,-0.330119,0.882440,1.066681
803,8.030000,-0.357664,1.025742,1.081285,-0.355106,1.164739,1.051568,-0.330189,0.882425,1.066679
804,8.040000,-0.357752,1.025721,1.081272,-0.355186,1.164733,1.051576,-0.330245,0.882423,1.066660
805,8.050000,-0.357797,1.025715,1.081262,-0.355318,1.164732,1.051579,-0.330305,0.882427,1.066682
806,8.060000,-0.357891,1.025710,1.081272,-0.355433,1.164725,1.051626,-0.330337,0.882400,1.066655
807,8.070000,-0.357946,1.025723,1.081282,-0.355507,1.164730,1.051638,-0.330408,0.882410,1.066669
808,8.080000,-0.358003,1.025693,1.081273,-0.355554,1.164713,1.051644,-0.330442,0.882383,1.066656
809,8.090000,-0.358075,1.025717,1.081285,-0.355685,1.164723,1.051712,-0.330507,0.882409,1.066665
810,8.100000,-0.358108,1.025666,1.081284,-0.355736,1.164700,1.051732,-0.330545,0.882377,1.066656
811,8.110000,-0.358241,1.025702,1.081289,-0.355832,1.164704,1.051750,-0.330607,0.882364,1.066675
812,8.120000,-0.358292,1.025661,1.081314,-0.355881,1.164671,1.051741,-0.330660,0.882338,1.066666
813,8.130000,-0.358379,1.025616,1.081369,-0.355951,1.164665,1.051765,-0.330696,0.882320,1.066688
814,8.140000,-0.358431,1.025602,1.081340,-0.355993,1.164649,1.051773,-0.330737,0.882305,1.066681
815,8.150000,-0.358482,1.025580,1.081368,-0.356080,1.164638,1.051794,-0.331718,0.882411,1.067090
816,8.160000,-0.358543,1.025567,1.081356,-0.356124,1.164611,1.051793,-0.331873,0.882627,1.067057
817,8.170000,-0.358585,1.025532,1.081362,-0.356185,1.164612,1.051822,-0.331943,0.882684,1.067052
818,8.180000,-0.358661,1.025516,1.081369,-0.356264,1.164576,1.051839,-0.331880,0.882656,1.066981
819,8.190000,-0.358716,1.025497,1.081392,-0.356330,1.164573,1.051848,-0.331833,0.882642,1.066915
820,8.200000,-0.358766,1.025475,1.081384,-0.356391,1.164566,1.051874,-0.331968,0.882548,1.067008
821,8.210000,-0.358825,1.025458,1.081389,-0.356508,1.164505,1.051905,-0.331861,0.882563,1.066881
822,8.220000,-0.358912,1.025450,1.081432,-0.356539,1.164483,1.051928,-0.331081,0.882287,1.066617
823,8.230000,-0.358936,1.025435,1.081409,-0.356628,1.164497,1.051935,-0.331135,0.882270,1.066590
824,8.240000,-0.358995,1.025440,1.081409,-0.356650,1.164479,1.051949,-0.331168,0.882279,1.066623
825,8.250000,-0.359031,1.025437,1.081412,-0.356704,1.164487,1.051954,-0.331223,0.882288,1.066625
826,8.260000,-0.359098,1.025456,1.081437,-0.356748,1.164486,1.051963,-0.331263,0.882306,1.066640
827,8.270000,-0.359121,1.025450,1.081432,-0.356817,1.164480,1.051986,-0.331261,0.882291,1.066631
828,8.280000,-0.359169,1.025451,1.081457,-0.356892,1.164506,1.052006,-0.331346,0.882304,1.066632
829,8.290000,-0.359211,1.025463,1.081447,-0.356913,1.164513,1.051995,-0.331377,0.882308,1.066624
830,8.300000,-0.359264,1.025505,1.081458,-0.356989,1.164528,1.051992,-0.331432,0.882330,1.066632
831,8.310000,-0.359284,1.025508,1.081454,-0.357037,1.164550,1.051986,-0.331462,0.882353,1.066613
832,8.320000,-0.359334,1.025511,1.081434,-0.357078,1.164585,1.052016,-0.331524,0.882387,1.066616
833,8.330000,-0.359346,1.025545,1.081433,-0.357130,1.164601,1.052015,-0.331560,0.882407,1.066606
834,8.340000,-0.359374,1.025574,1.081462,-0.357157,1.164631,1.052034,-0.331581,0.882440,1.066595
835,8.350000,-0.359380,1.025595,1.081461,-0.357193,1.164653,1.052036,-0.331592,0.882464,1.066605
836,8.360000,-0.359426,1.025633,1.081481,-0.357191,1.164675,1.052051,-0.331577,0.882487,1.066604
837,8.370000,-0.359388,1.025617,1.081488,-0.357282,1.164674,1.052090,-0.331574,0.882504,1.066596
838,8.380000,-0.359427,1.025654,1.081534,-0.357297,1.164678,1.052101,-0.331607,0.882523,1.066607
839,8.390000,-0.359458,1.025629,1.081523,-0.357359,1.164692,1.052109,-0.331631,0.882514,1.066631
840,8.400000,-0.359482,1.025650,1.081550,-0.357373,1.164688,1.052125,-0.331648,0.882526,1.066646
841,8.410000,-0.359496,1.025629,1.081559,-0.357425,1.164665,1.052142,-0.331717,0.882535,1.066646
842,8.420000,-0.359539,1.025630,1.081574,-0.357460,1.164675,1.052135,-0.331731,0.882524,1.066644
843,8.430000,-0.359591,1.025604,1.081586,-0.357467,1.164662,1.052153,-0.331827,0.882540,1.066637
844,8.440000,-0.359607,1.025608,1.081588,-0.357497,1.164665,1.052166,-0.331877,0.882516,1.066639
845,8.450000,-0.359622,1.025604,1.081579,-0.360274,1.165092,1.052390,-0.331888,0.882523,1.066634
846,8.460000,-0.359682,1.025576,1.081586,-0.361003,1.165570,1.052314,-0.331934,0.882524,1.066614
847,8.470000,-0.359698,1.025587,1.081589,-0.360905,1.165789,1.051977,-0.331959,0.882515,1.066604
848,8.480000,-0.359741,1.025578,1.081607,-0.357657,1.164666,1.052192,-0.332000,0.882513,1.066604
849,8.490000,-0.359789,1.025566,1.081614,-0.357694,1.164657,1.052215,-0.332086,0.882523,1.066600
850,8.500000,-0.359847,1.025544,1.081603,-0.357752,1.164639,1.052227,-0.332137,0.882500,1.066576
851,8.510000,-0.359918,1.025545,1.081617,-0.357783,1.164635,1.052263,-0.332195,0.882506,1.066600
852,8.520000,-0.359953,1.025530,1.081632,-0.357814,1.164609,1.052268,-0.332246,0.882491,1.066579
853,8.530000,-0.359993,1.025499,1.081627,-0.357857,1.164608,1.052292,-0.332304,0.882481,1.066584
854,8.540000,-0.360023,1.025478,1.081626,-0.357876,1.164583,1.052291,-0.332344,0.882462,1.066569
855,8.550000,-0.360066,1.025478,1.081640,-0.357952,1.164591,1.052315,-0.332415,0.882434,1.066592
856,8.560000,-0.360106,1.025454,1.081626,-0.360508,1.165030,1.052509,-0.332454,0.882398,1.066574
857,8.570000,-0.360157,1.025438,1.081652,-0.361692,1.165548,1.052290,-0.332512,0.882402,1.066591
858,8.580000,-0.360206,1.025408,1.081665,-0.361689,1.165344,1.052314,-0.332579,0.882385,1.066599
859,8.590000,-0.360233,1.025403,1.081686,-0.361433,1.165126,1.052336,-0.332641,0.882394,1.066614
860,8.600000,-0.360253,1.025379,1.081669,-0.361349,1.164922,1.052380,-0.332642,0.882353,1.066606
861,8.610000,-0.360301,1.025355,1.081711,-0.361342,1.164901,1.052393,-0.332706,0.882349,1.066606
862,8.620000,-0.360342,1.025319,1.081721,-0.361383,1.164874,1.052415,-0.332725,0.882323,1.066606
863,8.630000,-0.360347,1.025323,1.081704,-0.361397,1.164832,1.052443,-0.332724,0.882322,1.066596
864,8.640000,-0.360341,1.025290,1.081730,-0.361347,1.164828,1.052434,-0.332755,0.882295,1.066628
865,8.650000,-0.360335,1.025309,1.081723,-0.361384,1.164836,1.052465,-0.332689,0.882284,1.066586
866,8.660000,-0.360313,1.025280,1.081726,-0.361338,1.164811,1.052483,-0.332765,0.882273,1.066574
867,8.670000,-0.360338,1.025240,1.081717,-0.361315,1.164795,1.052489,-0.332750,0.882274,1.066553
868,8.680000,-0.360320,1.025220,1.081705,-0.361282,1.164763,1.052525,-0.332740,0.882259,1.066544
869,8.690000,-0.360240,1.025214,1.081686,-0.361248,1.164766,1.052536,-0.332752,0.882246,1.066519
870,8.700000,-0.360223,1.025216,1.081692,-0.361210,1.164763,1.052590,-0.332652,0.882223,1.066524
871,8.710000,-0.360177,1.025212,1.081702,-0.361162,1.164768,1.052576,-0.332708,0.882238,1.066481
872,8.720000,-0.360146,1.025250,1.081742,-0.361094,1.164781,1.052620,-0.332665,0.882239,1.066476
873,8.730000,-0.360116,1.025262,1.081738,-0.361016,1.164787,1.052644,-0.332622,0.882230,1.066475
874,8.740000,-0.360090,1.025284,1.081759,-0.360935,1.164813,1.052668,-0.332537,0.882232,1.066478
875,8.750000,-0.360024,1.025285,1.081775,-0.360854,1.164831,1.052686,-0.332538,0.882248,1.066467
876,8.760000,-0.359942,1.025272,1.081781,-0.360841,1.164826,1.052719,-0.332467,0.882235,1.066471
877,8.770000,-0.359870,1.025270,1.081795,-0.360773,1.164809,1.052755,-0.332409,0.882234,1.066465
878,8.780000,-0.359829,1.025271,1.081799,-0.360688,1.164835,1.052790,-0.332328,0.882240,1.066473
879,8.790000,-0.360768,1.025484,1.082356,-0.360626,1.164829,1.052824,-0.332271,0.882258,1.066459
880,8.800000,-0.360768,1.025520,1.082420,-0.360522,1.164846,1.052860,-0.332236,0.882248,1.066476
881,8.810000,-0.360636,1.025505,1.082402,-0.360410,1.164850,1.052888,-0.332167,0.882278,1.066472
882,8.820000,-0.360521,1.025516,1.082405,-0.360335,1.164889,1.052928,-0.332070,0.882286,1.066477
883,8.830000,-0.360415,1.025537,1.082372,-0.360234,1.164913,1.052950,-0.331989,0.882306,1.066466
884,8.840000,-0.360341,1.025561,1.082410,-0.360125,1.164934,1.053006,-0.331903,0.882329,1.066473
885,8.850000,-0.360343,1.025614,1.082435,-0.360014,1.164971,1.053034,-0.331792,0.882344,1.066475
886,8.860000,-0.360223,1.025609,1.082436,-0.359915,1.164979,1.053059,-0.331714,0.882344,1.066481
887,8.870000,-0.360062,1.025587,1.082422,-0.359837,1.164979,1.053099,-0.331584,0.882345,1.066496
888,8.880000,-0.360029,1.025635,1.082452,-0.359708,1.164998,1.053127,-0.333677,0.883002,1.067350
889,8.890000,-0.359959,1.025669,1.082492,-0.359594,1.165006,1.053138,-0.333245,0.882980,1.067212
890,8.900000,-0.359794,1.025685,1.082470,-0.359480,1.165024,1.053161,-0.333033,0.882994,1.067180
891,8.910000,-0.359804,1.025745,1.082572,-0.359353,1.165045,1.053183,-0.332387,0.882898,1.067163
892,8.920000,-0.359599,1.025744,1.082542,-0.359205,1.165082,1.053203,-0.332730,0.883081,1.067120
893,8.930000,-0.359489,1.025782,1.082576,-0.359064,1.165111,1.053266,-0.332577,0.883103,1.067108
894,8.940000,-0.359327,1.025809,1.082560,-0.358925,1.165153,1.053296,-0.332458,0.883162,1.067079
895,8.950000,-0.359167,1.025891,1.082560,-0.358682,1.165167,1.053322,-0.332316,0.883172,1.067081
896,8.960000,-0.359110,1.025947,1.082611,-0.358403,1.165187,1.053357,-0.331702,0.883060,1.067033
897,8.970000,-0.358923,1.025939,1.082599,-0.358126,1.165207,1.053399,-0.332038,0.883206,1.067140
898,8.980000,-0.358761,1.025949,1.082636,-0.357788,1.165219,1.053415,-0.331429,0.883151,1.067085
899,8.990000,-0.358590,1.025978,1.082676,-0.357940,1.165238,1.053474,-0.331814,0.883285,1.067165
900,9.000000,-0.358423,1.025979,1.082723,-0.357750,1.165254,1.053491,-0.331620,0.883280,1.067191
901,9.010000,-0.358099,1.025946,1.082706,-0.357429,1.165266,1.053525,-0.331515,0.883296,1.067228
902,9.020000,-0.357906,1.025963,1.082710,-0.357392,1.165296,1.053571,-0.331363,0.883315,1.067244
903,9.030000,-0.357838,1.026022,1.082774,-0.357257,1.165321,1.053610,-0.331299,0.883353,1.067274
904,9.040000,-0.357556,1.026012,1.082821,-0.357007,1.165353,1.053625,-0.331129,0.883340,1.067305
905,9.050000,-0.357425,1.026050,1.082873,-0.356826,1.165378,1.053667,-0.331016,0.883363,1.067370
906,9.060000,-0.357145,1.026081,1.082947,-0.356765,1.165395,1.053673,-0.330895,0.883371,1.067398
907,9.070000,-0.357019,1.026084,1.082992,-0.356665,1.165426,1.053712,-0.330722,0.883371,1.067394
908,9.080000,-0.356925,1.026104,1.083018,-0.356431,1.165430,1.053736,-0.330561,0.883414,1.067434
909,9.090000,-0.356819,1.026107,1.083054,-0.356211,1.165440,1.053776,-0.330389,0.883417,1.067495
910,9.100000,-0.356637,1.026161,1.083188,-0.356143,1.165458,1.053851,-0.330225,0.883471,1.067574
911,9.110000,-0.356565,1.026179,1.083207,-0.356100,1.165468,1.053873,-0.330150,0.883488,1.067598
912,9.120000,-0.356528,1.026163,1.083170,-0.356009,1.165469,1.053861,-0.330109,0.883485,1.067600
913,9.130000,-0.356414,1.026147,1.083193,-0.355846,1.165468,1.053865,-0.330014,0.883498,1.067635
914,9.140000,-0.356246,1.026144,1.083209,-0.355732,1.165456,1.053879,-0.329839,0.883480,1.067682
915,9.150000,-0.356151,1.026144,1.083241,-0.355680,1.165446,1.053905,-0.329755,0.883451,1.067726
916,9.160000,-0.356050,1.026120,1.083251,-0.355502,1.165456,1.053939,-0.329590,0.883466,1.067797
917,9.170000,-0.356007,1.026126,1.083299,-0.355344,1.165446,1.053951,-0.329499,0.883445,1.067839
918,9.180000,-0.355917,1.026124,1.083328,-0.355421,1.165433,1.053972,-0.329358,0.883417,1.067924
919,9.190000,-0.355798,1.026120,1.083350,-0.355261,1.165423,1.053985,-0.329265,0.883411,1.067957
920,9.200000,-0.355932,1.026184,1.083500,-0.355106,1.165418,1.054003,-0.329164,0.883402,1.068023
921,9.210000,-0.355959,1.026227,1.083616,-0.354911,1.165428,1.054012,-0.329063,0.883401,1.068070
922,9.220000,-0.355844,1.026227,1.083633,-0.354818,1.165429,1.054030,-0.328991,0.883404,1.068129
923,9.230000,-0.355686,1.026191,1.083596,-0.354730,1.165421,1.054035,-0.328750,0.883377,1.068168
924,9.240000,-0.355609,1.026181,1.083622,-0.354619,1.165430,1.054061,-0.328517,0.883323,1.068096
925,9.250000,-0.355549,1.026164,1.083637,-0.354556,1.165416,1.054124,-0.328560,0.883386,1.068236
926,9.260000,-0.355520,1.026179,1.083706,-0.354585,1.165400,1.054213,-0.328363,0.883300,1.068147
927,9.270000,-0.355493,1.026197,1.083735,-0.354688,1.165400,1.054294,-0.328464,0.883380,1.068335
928,9.280000,-0.355426,1.026197,1.083766,-0.354553,1.165419,1.054288,-0.328425,0.883386,1.068393
929,9.290000,-0.355297,1.026173,1.083774,-0.354209,1.165449,1.054270,-0.327802,0.883248,1.068305
930,9.300000,-0.355219,1.026167,1.083796,-0.354179,1.165443,1.054265,-0.328034,0.883281,1.068391
931,9.310000,-0.355107,1.026179,1.083800,-0.354275,1.165431,1.054261,-0.328119,0.883400,1.068555
932,9.320000,-0.355072,1.026222,1.083875,-0.354027,1.165424,1.054263,-0.328020,0.883388,1.068602
933,9.330000,-0.354996,1.026238,1.083902,-0.353918,1.165439,1.054277,-0.327447,0.883266,1.068704
934,9.340000,-0.354939,1.026275,1.083953,-0.353855,1.165454,1.054289,-0.327835,0.883425,1.068698
935,9.350000,-0.354856,1.026269,1.083954,-0.353812,1.165473,1.054302,-0.327768,0.883418,1.068736
936,9.360000,-0.354801,1.026281,1.084000,-0.353709,1.165445,1.054313,-0.327224,0.883265,1.068706
937,9.370000,-0.354703,1.026264,1.084011,-0.353670,1.165457,1.054332,-0.327125,0.883247,1.068741
938,9.380000,-0.354623,1.026256,1.084032,-0.353692,1.165434,1.054323,-0.327690,0.883465,1.068940
939,9.390000,-0.354545,1.026250,1.084065,-0.353623,1.165422,1.054364,-0.327555,0.883446,1.068953
940,9.400000,-0.354533,1.026254,1.084101,-0.353498,1.165442,1.054392,-0.327520,0.883443,1.068997
941,9.410000,-0.354317,1.026210,1.084093,-0.353472,1.165423,1.054417,-0.327313,0.883346,1.068976
942,9.420000,-0.354321,1.026231,1.084144,-0.353430,1.165405,1.054432,-0.327369,0.883473,1.069059
943,9.430000,-0.354220,1.026229,1.084168,-0.353295,1.165407,1.054425,-0.327064,0.883351,1.069036
944,9.440000,-0.354092,1.026212,1.084183,-0.353282,1.165391,1.054438,-0.326488,0.883214,1.069027
945,9.450000,-0.354023,1.026235,1.084201,-0.353185,1.165395,1.054442,-0.326912,0.883331,1.069101
946,9.460000,-0.353996,1.026234,1.084234,-0.353104,1.165411,1.054453,-0.326321,0.883239,1.069048
947,9.470000,-0.353915,1.026266,1.084252,-0.353008,1.165431,1.054429,-0.326747,0.883371,1.069125
948,9.480000,-0.353837,1.026277,1.084269,-0.352871,1.165445,1.054444,-0.326676,0.883380,1.069124
949,9.490000,-0.353786,1.026298,1.084275,-0.352774,1.165459,1.054458,-0.326122,0.883291,1.069093
950,9.500000,-0.353682,1.026301,1.084294,-0.352730,1.165482,1.054482,-0.326489,0.883411,1.069137
951,9.510000,-0.353624,1.026311,1.084347,-0.352649,1.165501,1.054505,-0.326416,0.883426,1.069165
952,9.520000,-0.353534,1.026350,1.084344,-0.352637,1.165484,1.054506,-0.326347,0.883476,1.069185
953,9.530000,-0.353339,1.026321,1.084396,-0.352513,1.165496,1.054544,-0.325768,0.883354,1.069168
954,9.540000,-0.353261,1.026322,1.084454,-0.352436,1.165504,1.054549,-0.326125,0.883469,1.069316
955,9.550000,-0.353160,1.026322,1.084494,-0.352383,1.165502,1.054559,-0.326050,0.883470,1.069345
956,9.560000,-0.353136,1.026331,1.084527,-0.352246,1.165519,1.054583,-0.326160,0.883593,1.069459
957,9.570000,-0.353074,1.026312,1.084576,-0.352050,1.165495,1.054606,-0.326077,0.883455,1.069167
958,9.580000,-0.353010,1.026298,1.084641,-0.351938,1.165487,1.054617,-0.325349,0.883214,1.068667
959,9.590000,-0.352448,1.026335,1.084223,-0.351877,1.165478,1.054645,-0.324809,0.883959,1.070272
960,9.600000,-0.352836,1.026438,1.084599,-0.351845,1.165456,1.054665,-0.324711,0.883936,1.070322
961,9.610000,-0.352751,1.026433,1.084640,-0.351805,1.165437,1.054662,-0.324667,0.883911,1.070353
962,9.620000,-0.352641,1.026419,1.084703,-0.351809,1.165414,1.054689,-0.324634,0.883904,1.070384
963,9.630000,-0.352513,1.026392,1.084714,-0.351672,1.165386,1.054684,-0.324583,0.883903,1.070436
964,9.640000,-0.352356,1.026350,1.084691,-0.351578,1.165380,1.054672,-0.324555,0.883895,1.070438
965,9.650000,-0.352330,1.026362,1.084724,-0.351551,1.165371,1.054691,-0.324484,0.883883,1.070446
966,9.660000,-0.352282,1.026350,1.084727,-0.351443,1.165374,1.054700,-0.324461,0.883855,1.070405
967,9.670000,-0.352068,1.026320,1.084737,-0.351394,1.165350,1.054694,-0.324423,0.883850,1.070395
968,9.680000,-0.352030,1.026319,1.084745,-0.351307,1.165339,1.054705,-0.324334,0.883791,1.070385
969,9.690000,-0.351990,1.026338,1.084747,-0.351257,1.165329,1.054704,-0.324287,0.883779,1.070366
970,9.700000,-0.351903,1.026319,1.084746,-0.351056,1.165338,1.054701,-0.324192,0.883751,1.070359
971,9.710000,-0.351852,1.026313,1.084759,-0.351017,1.165326,1.054693,-0.324127,0.883784,1.070415
972,9.720000,-0.351784,1.026307,1.084751,-0.351174,1.165409,1.054651,-0.324073,0.883790,1.070449
973,9.730000,-0.351730,1.026313,1.084772,-0.352329,1.165705,1.054375,-0.324021,0.883796,1.070485
974,9.740000,-0.351607,1.026280,1.084761,-0.349196,1.165792,1.055131,-0.324206,0.882988,1.070499
975,9.750000,-0.351640,1.026271,1.084772,-0.349174,1.165754,1.055122,-0.324644,0.882997,1.069530
976,9.760000,-0.351663,1.026258,1.084816,-0.349136,1.165741,1.055131,-0.324841,0.883212,1.069725
977,9.770000,-0.351635,1.026010,1.085604,-0.349082,1.165706,1.055136,-0.324754,0.883128,1.069670
978,9.780000,-0.351368,1.025931,1.085013,-0.349049,1.165668,1.055125,-0.324969,0.883226,1.069744
979,9.790000,-0.351324,1.026009,1.084834,-0.348975,1.165698,1.055123,-0.324746,0.883119,1.069654
980,9.800000,-0.351312,1.026026,1.084807,-0.348925,1.165683,1.055124,-0.324259,0.882986,1.069524
981,9.810000,-0.351295,1.026014,1.084749,-0.348871,1.165703,1.055060,-0.324856,0.883219,1.069679
