Format Version,1.1,Take Name,Take 2021-09-15 03.19.26 PM,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-09-15 03.19.26.638 PM,Total Frames,4065,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_2,Marker_2,Marker_2,Marker_1,Marker_1,Marker_1,Marker_3,Marker_3,Marker_3
,,"8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702811","8392B20CF49E35702811","8392B20CF49E35702811"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
44,0.440000,-0.353000,1.026996,1.083185,-0.351019,1.166317,1.054232,-0.326228,0.884396,1.067785
45,0.450000,-0.352968,1.026987,1.083192,-0.350906,1.166309,1.054215,-0.325642,0.884171,1.067600
46,0.460000,-0.352920,1.026976,1.083186,-0.350815,1.166283,1.054183,-0.326173,0.884388,1.067751
47,0.470000,-0.352806,1.026935,1.083152,-0.350790,1.166280,1.054216,-0.326085,0.884323,1.067696
48,0.480000,-0.352807,1.026922,1.083159,-0.350712,1.166238,1.054185,-0.326035,0.884299,1.067653
49,0.490000,-0.352778,1.026905,1.083141,-0.350654,1.166226,1.054167,-0.326047,0.884301,1.067634
50,0.500000,-0.352729,1.026865,1.083106,-0.350496,1.166179,1.054157,-0.326028,0.884263,1.067599
51,0.510000,-0.352674,1.026819,1.083074,-0.350520,1.166156,1.054158,-0.325986,0.884226,1.067571
52,0.520000,-0.352670,1.026781,1.083068,-0.350446,1.166116,1.054152,-0.325993,0.884189,1.067559
53,0.530000,-0.352605,1.026735,1.083040,-0.350463,1.166079,1.054151,-0.325979,0.884135,1.067536
54,0.540000,-0.352630,1.026710,1.083055,-0.350390,1.166046,1.054136,-0.325923,0.884077,1.067501
55,0.550000,-0.352584,1.026653,1.083023,-0.350369,1.165997,1.054136,-0.325899,0.884017,1.067459
56,0.560000,-0.352435,1.026569,1.082982,-0.350349,1.165964,1.054128,-0.325879,0.883982,1.067453
57,0.570000,-0.352397,1.026534,1.082964,-0.350294,1.165932,1.054109,-0.325855,0.883927,1.067424
58,0.580000,-0.352516,1.026516,1.082953,-0.350307,1.165892,1.054096,-0.325844,0.883871,1.067396
59,0.590000,-0.352293,1.026429,1.082893,-0.350282,1.165865,1.054086,-0.325813,0.883830,1.067368
60,0.600000,-0.352370,1.026412,1.082910,-0.350229,1.165839,1.054087,-0.325822,0.883795,1.067348
61,0.610000,-0.352340,1.026368,1.082864,-0.350214,1.165809,1.054068,-0.325804,0.883757,1.067320
62,0.620000,-0.352322,1.026325,1.082873,-0.350225,1.165788,1.054054,-0.325916,0.883752,1.067337
63,0.630000,-0.352328,1.026288,1.082837,-0.350233,1.165747,1.054052,-0.325316,0.883444,1.067064
64,0.640000,-0.352324,1.026258,1.082823,-0.350248,1.165725,1.054051,-0.325895,0.883662,1.067274
65,0.650000,-0.352297,1.026218,1.082794,-0.350242,1.165694,1.054048,-0.325874,0.883622,1.067246
